No.,캠퍼스,과목명,개설학과,대표강사,강의실 / 강의시간
268,서울,관리회계,경영경제대학경영학부(서울),양대천,310관 703호 <강의실> 월(10:30~11:45) / 수(10:30~11:45)
269,서울,관리회계,경영경제대학경영학부(서울),양대천,310관 703호 <강의실> 월(15:00~16:15) / 수(15:00~16:15)
270,서울,관리회계,경영경제대학경영학부(서울),박수연,310관 311호 <강의실> 화(10:30~11:45) / 목(10:30~11:45)
271,서울,관리회계,경영경제대학경영학부(서울),박수연,310관 311호 <강의실> 화(09:00~10:15) / 목(09:00~10:15)
272,서울,관리회계,경영경제대학경영학부(서울),조태현,310관 927호 <강의실> 월(16:30~17:45) / 수(16:30~17:45)
273,서울,광고기획,경영경제대학광고홍보학과,나정희,"310관 818호 <강의실> 수4,5,6"
274,서울,광고와마케팅,경영경제대학광고홍보학과,황장선,310관 925호 <강의실> 화(16:30~17:45) / 목(16:30~17:45)
275,서울,광고와소비자행동,경영경제대학광고홍보학과,김정현,310관 804호 <강의실> 월(15:00~16:15) / 수(15:00~16:15)
276,서울,광고크리에이티브전략,경영경제대학광고홍보학과,문기연,"310관 501호 <광고홍보학과 실습실> 금1,2,3"
277,서울,광고크리에이티브전략,경영경제대학광고홍보학과,문기연,"310관 607호 <컴퓨터실습실-1> 금4,5,6"
278,서울,광고학개론,경영경제대학광고홍보학과,이명천,"310관 928호 <강의실> 금4,5,6"
279,서울,광고학개론,경영경제대학광고홍보학과,나정희,"310관 311호 <강의실> 수7,8,9"
280,서울,광고홍보특강(1),경영경제대학광고홍보학과,이명천,"310관 928호 <강의실> 금7,8,9"
281,서울,교육행정학,사범대학교육학과,김이경,"310관 815호 (월7,8,9)"
282,서울,교통계획론(1),공과대학사회기반시스템공학부,손기민,"310관 321호 <강의실> 수5,6 / 금6"
283,서울,교통공학,공과대학사회기반시스템공학부,김태완,"310관 321호 <강의실> 화7,8,9"
284,서울,구조역학(1),공과대학사회기반시스템공학부,심창수,"310관 417호 <강의실> 월7,8,9"
285,서울,구조역학(1),공과대학사회기반시스템공학부,심창수,"310관 417호 <강의실> 수7,8,9"
